date,flow
9/21/15,12300
9/22/15,12500
9/23/15,12500
9/24/15,12500
9/25/15,12500
9/26/15,11900
9/27/15,11200
9/28/15,12700
9/29/15,12900
9/30/15,12900
